바바,84,161
차차,60,148
자카,57,195
차아,76,158
차아,99,180
타바,54,153
라자,59,179
카가,58,190
타하,49,151
라차,51,179
자하,92,178
가나,79,188
마파,72,153
카바,65,183
차사,48,172
파차,96,143
라바,69,170
가사,60,198
자아,96,193
자가,86,189
가타,58,144
라마,86,190
라하,52,160
다자,57,187
사다,97,178
아라,86,188
카아,68,163
마라,59,191
자나,90,172
마마,49,166
하아,87,157
가다,84,195
파가,64,168
아아,53,165
차바,90,185
아자,41,171
파마,92,192
파카,79,140
하바,93,175
카파,75,177
하카,93,157
다가,57,152
아나,53,166
다하,71,157
타마,64,197
다하,84,168
다타,43,165
라마,88,156
바차,92,193
나바,75,187
다라,80,152
사자,74,144
나하,60,198
바자,69,176
자사,60,194
바라,84,166
마마,66,160
하가,94,157
라사,87,164
라자,53,176
아바,86,173
사다,98,172
아하,61,143
마타,90,154
나사,90,157
나자,55,151
자카,65,178
하하,98,164
차카,52,162
사나,42,155
타가,78,185
하나,77,161
마타,47,168
마타,91,197
다아,45,177
마아,78,152
하나,64,164
파사,61,166
바바,62,149
하하,86,166
아사,57,145
가마,75,168
아아,80,177
자가,64,143
마라,63,168
가타,87,178
아카,94,180
자사,71,193
카파,60,190
자마,68,166
하카,63,143
가사,67,170
마카,69,148
마가,93,195
라아,55,151
라바,41,181
카아,67,175
가사,97,176
차파,99,170
하라,78,172
마차,74,191
나라,56,164
자차,71,184
라라,96,140
파차,66,195
차자,63,153
카자,95,177
파하,76,144
파타,94,143
파바,93,199
차라,51,176
차차,45,146
차다,67,184
파아,58,151
바라,90,166
파자,79,196
사사,42,140
하나,60,178
바라,88,168
파나,65,187
카마,75,193
가차,58,158
차하,47,173
가다,85,171
하타,95,162
카하,61,163
파가,82,163
마하,67,166
아라,64,178
나하,41,194
바바,71,181
파바,92,153
나타,72,161
타타,94,144
카파,82,196
아파,84,143
다바,99,170
파파,92,173
하파,84,191
카아,73,155
파하,87,182
파하,93,187
차하,48,180
라파,58,187
라카,60,154
파마,77,167
카마,68,156
타가,63,169
자라,41,158
라바,78,144
나카,92,186
바나,89,175
아아,66,177
자아,47,160
사차,94,160
마나,85,197
가다,93,168
나가,60,198
타하,62,179
사카,73,195
마바,74,146
파바,57,158
하사,75,192
사카,81,152
마하,92,168
타가,79,174
자다,45,153
마라,57,171
나다,80,161
나하,40,157
하카,65,199
다바,52,163
가차,95,161
사다,40,149
파사,52,190
가바,50,195
가마,75,159
가가,50,158
사차,48,180
사하,74,157
다차,90,152
라다,77,185
사카,96,148
타바,96,150
라라,58,174
다타,52,176
자카,81,153
타자,67,183
아타,76,146
가나,85,197
차사,92,168
하카,66,198
나자,97,146
아마,46,195
바하,47,192
하라,68,145
카타,93,170
아라,63,188
아카,44,199
아자,68,148
파가,53,171
카가,61,190
하나,97,142
차아,73,198
다바,80,180
타사,71,186
아가,70,173
파하,75,163
하파,80,156
바다,97,194
나카,64,173
타아,85,189
차나,67,168
카사,69,170
파타,99,152
다바,68,180
다다,51,143
카차,48,183
타다,91,170
차라,79,194
아하,55,175
라마,45,187
하다,43,149
아파,93,195
타아,86,187
아마,94,142
파라,87,163
아카,65,199
다파,88,188
아차,56,145
하다,92,169
파카,49,141
다파,85,141
바나,40,144
카다,46,170
타차,92,183
사사,94,188
자나,50,176
아카,87,169
자다,58,156
라파,75,191
나아,96,159
자자,88,171
라자,40,186
라가,80,193
가차,51,174
바파,78,191
라아,89,143
바차,96,179
타바,51,144
자나,88,157
파자,65,144
하파,40,143
자바,72,140
다하,63,157
파하,98,178
차가,65,192
다파,78,186
카차,60,166
가하,45,187
바타,48,182
나바,79,194
나라,97,176
카파,85,170
하라,96,182
나하,45,179
파다,90,194
가마,50,173
자마,45,187
차타,82,168
나마,47,172
타자,62,164
바카,64,164
바마,86,190
하다,79,193
파파,48,178
바마,79,195
가차,75,165
사파,67,142
차아,75,143
마타,75,174
자라,95,169
하다,76,185
차나,48,148
아아,46,178
자바,58,197
카라,54,174
카하,76,177
파라,40,191
마아,54,188
바라,54,156
가파,88,183
사파,92,159
사차,51,162
사마,80,179
차나,63,163
가바,70,188
아라,71,178
타나,92,179
나자,53,199
하라,73,152
하차,64,187
하파,62,172
자파,53,141
자차,62,191
파마,89,151
하사,40,181
자라,66,192
나다,68,140
가라,67,195
타파,73,164
하사,60,186
가타,66,140
나하,53,191
아자,94,160
하차,48,175
자가,89,191
하마,80,164
차라,89,164
마라,50,192
다가,91,167
마아,51,144
아마,86,199
차사,61,199
라마,52,197
다라,70,161
사사,63,159
나차,66,151
바다,88,164
마차,71,148
마나,68,179
아하,68,177
하타,96,187
가사,97,149
라타,87,188
하사,68,161
아라,94,142
타라,97,141
하타,54,174
카마,60,177
아가,47,146
카다,98,185
나사,47,160
바카,63,182
가가,84,177
파가,40,186
마사,82,185
나가,70,164
마파,73,188
다자,61,195
카카,93,192
가마,68,146
마가,63,145
하아,64,153
파차,54,171
나라,79,141
자카,47,179
타자,46,146
카차,54,177
차바,84,153
가타,63,192
가라,40,145
나아,76,175
자라,91,196
라하,80,191
가가,80,151
라마,64,180
사마,74,196
다하,94,191
파카,68,181
카다,60,161
다나,94,149
라파,72,179
아라,98,144
라아,58,170
카아,56,171
자타,97,196
라하,40,142
다하,61,174
카다,96,161
나파,78,147
다마,60,157
다마,75,142
자파,75,164
다파,93,182
마바,94,156
가자,87,144
라가,96,175
자다,50,180
마카,93,153
사사,66,161
타나,74,161
자다,89,191
타자,62,187
타나,95,149
차파,44,181
마타,89,171
가자,63,162
라바,85,147
가다,98,140
아바,81,183
파사,49,162
라하,85,155
하하,81,158
자차,57,196
하카,60,144
마나,72,175
카아,94,159
하나,98,182
자파,66,184
차자,73,185
다하,82,181
바마,86,183
마하,68,189
카파,78,170
마사,93,142
하아,62,150
다차,97,189
파다,98,162
가바,43,143
하아,47,140
하자,96,198
라마,80,189
가바,40,147
타카,41,158
바카,45,189
아카,81,179
하카,61,142
파하,43,161
사다,68,195
가차,68,198
파다,46,188
타타,91,140
타차,50,199
카타,70,180
자라,97,165
라카,83,181
라파,93,161
카사,64,150
바가,90,170
마자,75,193
하가,99,141
하아,92,140
사라,91,147
차하,45,170
하자,81,144
바사,70,160
나라,55,163
마차,55,170
타나,40,184
다자,76,159
하가,75,165
아바,71,171
가바,93,166
자가,64,175
마라,89,198
다가,97,144
파나,50,193
카자,67,172
바카,90,176
파라,40,193
바바,81,165
파가,90,181
하다,71,146
사타,98,144
파카,44,188
타사,62,190
하바,81,149
아타,83,191
라다,62,161
가차,61,149
사다,99,162
아사,64,145
사타,98,180
파바,44,197
라아,63,184
마사,88,192
차하,43,147
파사,79,173
하다,65,187
라나,43,185
다마,69,143
바타,61,144
파카,47,188
카카,90,197
차차,96,179
가나,47,147
아타,72,195
사타,86,153
카가,87,188
라카,96,160
차사,40,164
나카,73,155
자다,49,180
라다,68,192
자하,60,192
바타,56,198
다가,54,196
마아,74,161
차파,59,173
카타,67,197
파카,97,170
가가,53,149
사차,70,191
나아,60,145
차카,62,195
다가,48,176
차타,69,150
라마,60,193
사바,89,167
차나,86,186
자하,83,191
나바,55,147
파아,68,195
파하,49,168
파사,83,161
마파,54,193
자자,40,195
다아,81,157
가가,81,157
타차,99,167
바파,72,159
파아,60,164
차차,70,183
타바,68,194
하자,65,160
타다,99,149
가나,78,143
자자,71,167
나차,79,157
다가,95,165
카자,41,158
라마,90,147
가아,55,173
가가,79,160
타파,74,190
라자,74,158
가카,66,140
파다,63,144
바사,73,176
나바,46,153
카차,65,146
타카,72,140
라나,80,163
다아,76,187
라라,60,147
바카,48,141
가바,80,176
라나,71,199
다가,68,177
타마,89,140
아가,72,184
가아,92,184
차가,68,176
파라,78,170
나타,40,178
타마,84,140
차사,64,171
다가,69,175
나파,57,143
가사,95,188
나다,83,152
바하,92,167
다타,78,169
하사,84,165
나파,86,153
다타,61,177
카사,60,192
차바,41,185
파하,83,166
바바,81,162
마라,59,181
파파,41,184
가라,43,160
사자,72,192
파차,84,180
카아,77,148
라차,45,142
타라,57,168
바사,87,150
가다,62,147
라마,73,151
가파,42,199
나마,83,161
가가,93,179
하사,78,143
파하,70,192
나타,99,144
다파,70,192
타다,81,154
바타,99,184
카다,47,182
나파,41,160
다파,46,196
가파,67,165
바카,86,154
자타,62,184
가카,83,140
사마,73,154
라타,84,194
타파,42,148
카자,99,173
라아,79,174
아다,70,184
차가,96,142
자파,94,142
가가,48,145
차타,67,180
사다,80,173
마타,68,169
하하,84,179
바가,91,190
나카,49,167
자타,45,196
마라,60,158
아마,76,150
라마,77,173
아바,57,175
차바,65,175
라나,91,146
사바,77,155
파사,88,141
카사,65,151
자가,77,166
하아,97,170
마다,46,171
다타,41,155
사사,95,196
카사,70,163
파아,96,144
가사,63,194
가나,61,160
카라,89,174
바하,54,141
카파,83,163
타마,67,151
사하,62,184
사마,79,165
파카,61,167
마사,72,157
타라,98,197
나나,56,156
아나,94,157
바타,98,188
마파,96,150
사바,75,140
나다,49,147
파라,74,184
하가,49,144
사카,99,157
아자,87,169
나하,55,183
다마,56,162
바라,58,144
바마,55,198
아하,59,179
아마,71,170
차타,61,191
라나,64,173
차파,96,161
바차,68,141
카차,46,169
파가,50,174
아아,86,167
마파,70,140
차자,92,152
바바,90,189
차다,47,178
다자,44,185
차차,98,173
카카,41,162
하자,54,199
파타,66,162
카나,62,178
타하,93,161
라바,67,152
파바,50,190
파바,55,148
카하,57,161
파차,57,194
하가,79,188
마카,78,186
타타,54,168
하차,41,186
아마,75,140
나하,65,184
다하,80,182
라나,94,158
마바,82,191
카마,54,175
가하,86,146
아마,93,143
타파,52,197
나파,44,167
마차,69,197
바하,40,175
사나,66,154
하아,89,178
마가,85,186
파자,89,180
차아,54,171
파자,80,196
차하,51,191
카바,75,148
아타,82,156
나마,99,192
마파,80,173
다카,68,149
타카,83,191
나타,80,174
카가,60,190
다바,65,196
하바,89,154
바나,99,176
타차,55,192
사차,41,154
카타,41,196
라나,95,172
차타,69,147
자가,73,175
자라,79,183
자마,54,168
카바,57,160
하카,73,165
라자,86,151
카바,47,150
가나,78,167
라라,54,191
나사,86,178
자파,92,158
가가,86,198
카사,62,161
차하,84,141
다사,95,195
파다,96,195
자라,82,152
사카,53,140
사차,62,141
사자,80,153
사마,94,141
마라,68,199
가카,84,166
다나,95,194
다아,75,151
사아,74,189
라파,88,144
아아,50,161
카하,99,158
차아,69,143
가자,79,172
하차,89,161
사타,56,167
차가,81,189
다아,71,178
다카,72,190
마파,63,141
자자,64,191
타다,99,142
차사,82,173
바사,89,182
자바,41,182
바바,84,172
타아,63,165
바파,99,167
차자,85,179
마다,81,168
사아,98,170
타차,42,192
타카,55,178
라바,63,186
다나,59,140
하마,72,159
마나,41,189
아아,55,199
사사,74,178
사하,57,165
하자,97,175
나나,40,194
아마,70,171
가차,80,185
타다,57,169
타카,95,168
하하,45,172
나타,47,182
마차,56,188
카카,57,166
카타,70,165
타마,56,188
나마,50,198
파아,54,141
가카,52,184
마타,93,165
파다,81,189
하마,49,143
마카,84,182
가자,52,167
자다,81,158
사아,84,154
